advertiser,page_id,page_name,ad_id,ad_creation_time,ad_delivery_start_time,currency,reached_country,body_text,link_title,link_caption,link_description,publisher_platforms,ad_snapshot_url,eu_ads_found,status
RS Custom Countertops,1582026298728590,RS Custom Countertops,1911986836153287,2026-07-10,2026-07-11,USD,US,,Get a Free Countertop Estimate Today,,,,https://www.facebook.com/ads/library/?id=1911986836153287,0,US/empty
RS Custom Countertops,1582026298728590,RS Custom Countertops,3047487032309926,2026-07-10,2026-07-11,USD,US,,Get a Free Countertop Estimate Today,,,,https://www.facebook.com/ads/library/?id=3047487032309926,0,US/empty
RS Custom Countertops,1582026298728590,RS Custom Countertops,1972994513333480,2026-07-10,2026-07-10,USD,US,,Get a Free Countertop Estimate Today,,,,https://www.facebook.com/ads/library/?id=1972994513333480,0,US/empty
RS Custom Countertops,1582026298728590,RS Custom Countertops,1043845394826977,2026-07-10,2026-07-10,USD,US,,Upgrade Your Sink & Countertops Today,,,,https://www.facebook.com/ads/library/?id=1043845394826977,0,US/empty
RS Custom Countertops,1582026298728590,RS Custom Countertops,4461623614120819,2026-07-10,2026-07-10,USD,US,,Upgrade Your Sink & Countertops Today,,,,https://www.facebook.com/ads/library/?id=4461623614120819,0,US/empty
RS Custom Countertops,1582026298728590,RS Custom Countertops,4450802698467338,2026-07-10,2026-07-10,USD,US,,Upgrade Your Sink & Countertops Today,,,,https://www.facebook.com/ads/library/?id=4450802698467338,0,US/empty
RS Custom Countertops,1582026298728590,RS Custom Countertops,4528133767506637,2026-06-25,2026-06-25,USD,US,,,,,,https://www.facebook.com/ads/library/?id=4528133767506637,0,US/empty
RS Custom Countertops,1582026298728590,RS Custom Countertops,1706858303929216,2026-06-25,2026-06-25,USD,US,,,,,,https://www.facebook.com/ads/library/?id=1706858303929216,0,US/empty
RS Custom Countertops,1582026298728590,RS Custom Countertops,3699442506862480,2026-06-25,2026-06-25,USD,US,,,,,,https://www.facebook.com/ads/library/?id=3699442506862480,0,US/empty
RS Custom Countertops,1582026298728590,RS Custom Countertops,2234560347378305,2026-06-25,2026-06-25,USD,US,,,,,,https://www.facebook.com/ads/library/?id=2234560347378305,0,US/empty
RS Custom Countertops,1582026298728590,RS Custom Countertops,26766040049684765,2026-05-28,2026-05-29,USD,US,,,,,,https://www.facebook.com/ads/library/?id=26766040049684765,0,US/empty
RS Custom Countertops,1582026298728590,RS Custom Countertops,903412299435950,2026-05-28,2026-05-29,USD,US,,,,,,https://www.facebook.com/ads/library/?id=903412299435950,0,US/empty
RS Custom Countertops,1582026298728590,RS Custom Countertops,1514645246885040,2026-03-19,2026-03-19,USD,US,,,,,,https://www.facebook.com/ads/library/?id=1514645246885040,0,US/empty
RS Custom Countertops,1582026298728590,RS Custom Countertops,2006482213416929,2026-02-25,2026-02-25,USD,US,,,,,,https://www.facebook.com/ads/library/?id=2006482213416929,0,US/empty
RS Custom Countertops,1582026298728590,RS Custom Countertops,937130322129140,2026-02-25,2026-02-25,USD,US,,,,,,https://www.facebook.com/ads/library/?id=937130322129140,0,US/empty
RS Custom Countertops,1582026298728590,RS Custom Countertops,955866066794608,2026-02-25,2026-02-25,USD,US,,,,,,https://www.facebook.com/ads/library/?id=955866066794608,0,US/empty
RS Custom Countertops,1582026298728590,RS Custom Countertops,887186534133613,2026-02-25,2026-02-25,USD,US,,,,,,https://www.facebook.com/ads/library/?id=887186534133613,0,US/empty
RS Custom Countertops,1582026298728590,RS Custom Countertops,1252081233721733,2026-02-25,2026-02-25,USD,US,,,,,,https://www.facebook.com/ads/library/?id=1252081233721733,0,US/empty
RS Custom Countertops,1582026298728590,RS Custom Countertops,1635857394269721,2026-02-25,2026-02-25,USD,US,,,,,,https://www.facebook.com/ads/library/?id=1635857394269721,0,US/empty
RS Custom Countertops,1582026298728590,RS Solid Surfaces INC.,3168658503311869,2026-01-13,2026-01-13,USD,US,,{{product.name}},,,,https://www.facebook.com/ads/library/?id=3168658503311869,0,US/empty
RS Custom Countertops,1582026298728590,RS Solid Surfaces INC.,1295722832597903,2026-01-13,2026-01-13,USD,US,,Get a Free Countertop Estimate Today,,,,https://www.facebook.com/ads/library/?id=1295722832597903,0,US/empty
