advertiser,page_id,page_name,ad_id,ad_creation_time,ad_delivery_start_time,currency,link_title,body_text,media_type,n_videos,video_hd_urls,image_urls,local_files,ad_snapshot_url
RS Custom Countertops,1582026298728590,RS Custom Countertops,1911986836153287,2026-07-10,2026-07-11,USD,Get a Free Countertop Estimate Today,"Need new countertops?
Discover the difference of flawless seams and premium imported stone.
Premium Quartz & Granite Installed by Experts",video,1,https://video-sea5-1.xx.fbcdn.net/o1/v/t2/f2/m366/AQN7kcS8qGxwqADd4MUdYH7JzOH_uelL1BqnFQikfmtNi4_QSQzEihr9c-ujNWB4L5D_-JiQ8qChI4Xw1PuqO2e-z-PBJA7RDrDFRXGluKkUAg.mp4?_nc_cat=103&_nc_sid=b66105&_nc_ht=video-sea5-1.xx.fbcdn.net&_nc_ohc=YXGL-miPMmkQ7kNvwGE1rZw&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjExOTI0NDM0NTU1NDc5OTAsImFzc2V0X2FnZV9kYXlzIjoyMTcsInZpX3VzZWNhc2VfaWQiOjEwNzk5LCJkdXJhdGlvbl9zIjoxMiwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=de8919304ddfe968&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC9FRjRBM0MzNUM1ODkxQzVBNkYxQjRBMTFEM0ZBQ0FCQ19tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50LzZBNDI2OUI4RENBNEJCRjc3RjJERTNENUY0M0U0RDkxX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACasqamJrKGeBBUCKAJDMywXQCl3S8an754YGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZd6oAQA&_nc_gid=BOD_Wk8R4wYpoISERi660g&_nc_ss=72289&_nc_zt=28&oh=00_AQCDTx5XeqOt6VeEXBv9DIP8VLTsMK6sm3PmMd1-cTU5_A&oe=6A57F6A5,,output/media/1582026298728590/1911986836153287/video_0.mp4,https://www.facebook.com/ads/library/?id=1911986836153287
RS Custom Countertops,1582026298728590,RS Custom Countertops,3047487032309926,2026-07-10,2026-07-11,USD,Get a Free Countertop Estimate Today,"Need new countertops?
Discover the difference of flawless seams and premium imported stone.
Premium Quartz & Granite Installed by Experts",video,1,https://video-sea5-1.xx.fbcdn.net/o1/v/t2/f2/m366/AQN2s8pdWP_JXLYjcQHn8rqk-Vys5B2n5RXhZku9EOsMeXF45_UcComFNKMQ5NvPQNxH5yS0vzOBSvuBHC_vcq4OeK7sw96KyE1fnwRnlMJNfg.mp4?_nc_cat=108&_nc_sid=b66105&_nc_ht=video-sea5-1.xx.fbcdn.net&_nc_ohc=tdqFCoDgXjwQ7kNvwFSsytj&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjcyNDYwNjU4MDA4NzI2NywiYXNzZXRfYWdlX2RheXMiOjIyNiwidmlfdXNlY2FzZV9pZCI6MTA3OTksImR1cmF0aW9uX3MiOjU5LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=1a411b6718f28b00&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC8xNjQ3MTc0NUEyOThCQUI0RjMyQUVBMjg1QUZGMzQ4RF9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50LzBBNDZFMkU4NUU2QzgyNzY0RTRBRjg1RkQxQTFFMzg4X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbG5_bc08HJAhUCKAJDMywXQE2u2RaHKwIYGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZd6oAQA&_nc_gid=E1mnRQrCOI9DwVHOLlewRw&_nc_ss=72289&_nc_zt=28&oh=00_AQA3ms1T-9fOfCja-8KqdNfMooghNpCXp4jIqtAe_I3hNQ&oe=6A57D19C,,output/media/1582026298728590/3047487032309926/video_0.mp4,https://www.facebook.com/ads/library/?id=3047487032309926
RS Custom Countertops,1582026298728590,RS Custom Countertops,1972994513333480,2026-07-10,2026-07-10,USD,Get a Free Countertop Estimate Today,"Need new countertops?
Discover the difference of flawless seams and premium imported stone.
Premium Quartz & Granite Installed by Experts",video,1,https://video-sea5-1.xx.fbcdn.net/o1/v/t2/f2/m366/AQM7MHj1wKSZYOYW0BK_RSBeIoi1AJ26UvCKY-5SFxtMs91rAtew7zJN48T26Oiyn_MA7i0XVKeVrzsVXjipLL0LW-7ntUyAODzp_m3uVXI8Sw.mp4?_nc_cat=110&_nc_sid=b66105&_nc_ht=video-sea5-1.xx.fbcdn.net&_nc_ohc=-ETdQK5wTPwQ7kNvwFJpJ1n&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjMyOTkyODEyNjM1NTgwMDQsImFzc2V0X2FnZV9kYXlzIjoyMTcsInZpX3VzZWNhc2VfaWQiOjEwNzk5LCJkdXJhdGlvbl9zIjoxOSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=a2102fa44e81404d&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC85MTQ1NzI4NUE5OTY3Q0RFQ0ZBNjU4MzFCRTc3MEI4NV9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50LzE0NDQ2NjZBOTc4QzI2OENEODc4ODAxNTUxREQzNjg2X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbo9dP7uKvcCxUCKAJDMywXQDNEGJN0vGoYGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZd6oAQA&_nc_gid=eSwC4cATESQcWe45NFPSjg&_nc_ss=72289&_nc_zt=28&oh=00_AQARZLwWObuigr9p975dMEfD_OTLfGxNaTa6MrsI_OFeww&oe=6A57DB22,,output/media/1582026298728590/1972994513333480/video_0.mp4,https://www.facebook.com/ads/library/?id=1972994513333480
RS Custom Countertops,1582026298728590,RS Custom Countertops,1043845394826977,2026-07-10,2026-07-10,USD,Upgrade Your Sink & Countertops Today,"Visit our showroom and discover countertops designed to impress.
Premium quartz and granite, expert installation, and personalized guidance every step of the way. Get your FREE estimate today!",video,1,https://video-sea5-1.xx.fbcdn.net/o1/v/t2/f2/m366/AQNGQQdiKYIA4sZDST-XeX2C3mbMafWcQDV9kdam-ETXFi1hL6E0oNs33wipEdezboy5y86FRXQHcguUsyGqRYpLKYxo61O3pvJtiZBFFoolpQ.mp4?_nc_cat=109&_nc_sid=b66105&_nc_ht=video-sea5-1.xx.fbcdn.net&_nc_ohc=87GpYvZpY6YQ7kNvwEq2odL&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjIyMDIwODk5MjM5MDA1MDYsImFzc2V0X2FnZV9kYXlzIjoxNiwidmlfdXNlY2FzZV9pZCI6MTAxMzksImR1cmF0aW9uX3MiOjE4LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=2420306072fae1ad&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC8wMTQzREYxNkIyQzlEQkZERDg1ODdGM0EzMUFFOThBQl9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50L0Y2NEFEMzdBNjdCNDJFM0VFODc5MDM5OTdGRDI0Nzg5X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACa00eu6wLLpBxUCKAJDMywXQDIAAAAAAAAYGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZbaeAQA&_nc_gid=CaCGPwbTng45tP_XtO4l-Q&_nc_ss=72289&_nc_zt=28&oh=00_AQAHyq5Q8cc73udjyDyY_HLdKa5Rd3fIU2XTK4cbF3sRaA&oe=6A57FF77,,output/media/1582026298728590/1043845394826977/video_0.mp4,https://www.facebook.com/ads/library/?id=1043845394826977
RS Custom Countertops,1582026298728590,RS Custom Countertops,4461623614120819,2026-07-10,2026-07-10,USD,Upgrade Your Sink & Countertops Today,"Need a new sink and countertops?
Upgrade your entire kitchen with premium quartz, granite, and expertly installed sinks, all handled by one trusted local team. Visit our showroom and see the difference for yourself.",image,0,,https://scontent-sea5-1.xx.fbcdn.net/v/t39.35426-6/678244494_1734115147753829_1993564595865300233_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=QA5gdAgjBQ8Q7kNvwEuuD84&_nc_oc=Adozs0PRmDnEKWnc6GDeJLXRNoUtW31fA-7_51K2rvL1zm7t07A4Qmjo_Wz40BDjB6k&_nc_zt=14&_nc_ht=scontent-sea5-1.xx&_nc_gid=AVGb-PQVDVEfzJ4bBn7nXA&_nc_ss=72289&oh=00_AQCoZ_b0QQX-Foq-1gqDEST5igPgP3YY2ZfFPn2e5_9y-Q&oe=6A57E9DF,output/media/1582026298728590/4461623614120819/image_0.jpg,https://www.facebook.com/ads/library/?id=4461623614120819
RS Custom Countertops,1582026298728590,RS Custom Countertops,4450802698467338,2026-07-10,2026-07-10,USD,Upgrade Your Sink & Countertops Today,"Need a new sink and countertops?
Upgrade your entire kitchen with premium quartz, granite, and expertly installed sinks, all handled by one trusted local team. Visit our showroom and see the difference for yourself.",video,1,https://video-sea1-1.xx.fbcdn.net/o1/v/t2/f2/m366/AQM5sWjLqbf2cVuY5AE64fFMvd-aNTbJnjtdiZOF7vPi1FDh6kbYZ2qA7-9IPqI8s-ufZOn57dH18fWa8d_GCSdoGTKziVFqATlTmgMnhQsH5Q.mp4?_nc_cat=104&_nc_sid=b66105&_nc_ht=video-sea1-1.xx.fbcdn.net&_nc_ohc=AGs0MWJ9FlQQ7kNvwGS4IsE&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjEyODcyOTI2MDY2MDkxMzIsImFzc2V0X2FnZV9kYXlzIjoxMTMsInZpX3VzZWNhc2VfaWQiOjEwNzk5LCJkdXJhdGlvbl9zIjoxNiwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=e3a3afd1a98f843b&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC84ODQwRjhCMzY4N0UyMjE0MDk2MTk3OThGREE0OTVCQ19tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50LzdDNDI2RTVEN0QwMUM0M0NEOUU0NDkwNjZBQ0M5OUJBX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbY28-opbLJBBUCKAJDMywXQDA7peNT988YGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZd6oAQA&_nc_gid=8wPS24OtJ9Jr5wfRA7ng5Q&_nc_ss=72289&_nc_zt=28&oh=00_AQBJ2ckahwsFEMxmh1N6oxHt8opX1SU1BWEppL25j0v7ZQ&oe=6A57F404,,output/media/1582026298728590/4450802698467338/video_0.mp4,https://www.facebook.com/ads/library/?id=4450802698467338
RS Custom Countertops,1582026298728590,RS Custom Countertops,4528133767506637,2026-06-25,2026-06-25,USD,,"Experience the beauty of premium stone and flawless craftsmanship.
Custom quartz and granite countertops installed with precision and care. Get your FREE estimate today!",video,1,https://video-sea5-1.xx.fbcdn.net/o1/v/t2/f2/m366/AQNGQQdiKYIA4sZDST-XeX2C3mbMafWcQDV9kdam-ETXFi1hL6E0oNs33wipEdezboy5y86FRXQHcguUsyGqRYpLKYxo61O3pvJtiZBFFoolpQ.mp4?_nc_cat=109&_nc_sid=b66105&_nc_ht=video-sea5-1.xx.fbcdn.net&_nc_ohc=87GpYvZpY6YQ7kNvwEq2odL&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjIyMDIwODk5MjM5MDA1MDYsImFzc2V0X2FnZV9kYXlzIjoxNiwidmlfdXNlY2FzZV9pZCI6MTAxMzksImR1cmF0aW9uX3MiOjE4LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=2420306072fae1ad&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC8wMTQzREYxNkIyQzlEQkZERDg1ODdGM0EzMUFFOThBQl9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50L0Y2NEFEMzdBNjdCNDJFM0VFODc5MDM5OTdGRDI0Nzg5X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACa00eu6wLLpBxUCKAJDMywXQDIAAAAAAAAYGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZbaeAQA&_nc_gid=7oJgQCwLnmRmZGXyvbWJsg&_nc_ss=72289&_nc_zt=28&oh=00_AQAP66h4150_1eM79XJWEqG3heG0CqRNGI_otmGzEov7tQ&oe=6A57FF77,,output/media/1582026298728590/4528133767506637/video_0.mp4,https://www.facebook.com/ads/library/?id=4528133767506637
RS Custom Countertops,1582026298728590,RS Custom Countertops,1706858303929216,2026-06-25,2026-06-25,USD,,"Experience the beauty of premium stone and flawless craftsmanship.
Custom quartz and granite countertops installed with precision and care. Get your FREE estimate today!",video,1,https://video-sea5-1.xx.fbcdn.net/o1/v/t2/f2/m366/AQMgNf32tOOz2Sse4YJK5LDF6zS6SeQADLyJU-DhHJ3P1pQsZ8QnF468XhVTDV91LLawssV0_qMM97yFqf7O5qFn6Lf7UAP03oiNY0JoiMNBDg.mp4?_nc_cat=105&_nc_sid=b66105&_nc_ht=video-sea5-1.xx.fbcdn.net&_nc_ohc=qTkc7VWatJ0Q7kNvwH9FM-3&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjIwODI1MzM5MTI2MTYwNTYsImFzc2V0X2FnZV9kYXlzIjoxNiwidmlfdXNlY2FzZV9pZCI6MTAxMzksImR1cmF0aW9uX3MiOjE0LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=2bedbf4e2dce8e1b&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC9BNTQ3M0MzODc1NEY2NDg1NjNCNUFEMzcxNjlFM0ZCOV9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50L0YxNDVDM0IyOTdBMEQ2NjExRTg3QzY1N0NCMjREODlDX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbw8cDhtoOzBxUCKAJDMywXQC0Q5WBBiTcYGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZbaeAQA&_nc_gid=mO2H3c2SGvUBY-gkCBNacw&_nc_ss=72289&_nc_zt=28&oh=00_AQAAMmgnoQ5s3sAC-3eRW5pMEdLL2-D4UJrbuJuOrf7azg&oe=6A57ECB7,,output/media/1582026298728590/1706858303929216/video_0.mp4,https://www.facebook.com/ads/library/?id=1706858303929216
RS Custom Countertops,1582026298728590,RS Custom Countertops,3699442506862480,2026-06-25,2026-06-25,USD,,"Experience the beauty of premium stone and flawless craftsmanship.
Custom quartz and granite countertops installed with precision and care. Get your FREE estimate today!",video,1,https://video-sea5-1.xx.fbcdn.net/o1/v/t2/f2/m366/AQNGQQdiKYIA4sZDST-XeX2C3mbMafWcQDV9kdam-ETXFi1hL6E0oNs33wipEdezboy5y86FRXQHcguUsyGqRYpLKYxo61O3pvJtiZBFFoolpQ.mp4?_nc_cat=109&_nc_sid=b66105&_nc_ht=video-sea5-1.xx.fbcdn.net&_nc_ohc=87GpYvZpY6YQ7kNvwEq2odL&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjIyMDIwODk5MjM5MDA1MDYsImFzc2V0X2FnZV9kYXlzIjoxNiwidmlfdXNlY2FzZV9pZCI6MTAxMzksImR1cmF0aW9uX3MiOjE4LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=2420306072fae1ad&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC8wMTQzREYxNkIyQzlEQkZERDg1ODdGM0EzMUFFOThBQl9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50L0Y2NEFEMzdBNjdCNDJFM0VFODc5MDM5OTdGRDI0Nzg5X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACa00eu6wLLpBxUCKAJDMywXQDIAAAAAAAAYGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZbaeAQA&_nc_gid=wA-TzbO2FaPUOw-I3UG3WQ&_nc_ss=72289&_nc_zt=28&oh=00_AQDJHygpLj1jm3mzRxWxjoQsIa9EfRc7BX_zR6tfy_k3uA&oe=6A57FF77,,output/media/1582026298728590/3699442506862480/video_0.mp4,https://www.facebook.com/ads/library/?id=3699442506862480
RS Custom Countertops,1582026298728590,RS Custom Countertops,2234560347378305,2026-06-25,2026-06-25,USD,,"Experience the beauty of premium stone and flawless craftsmanship.
Custom quartz and granite countertops installed with precision and care. Get your FREE estimate today!",video,1,https://video-sea5-1.xx.fbcdn.net/o1/v/t2/f2/m366/AQMgNf32tOOz2Sse4YJK5LDF6zS6SeQADLyJU-DhHJ3P1pQsZ8QnF468XhVTDV91LLawssV0_qMM97yFqf7O5qFn6Lf7UAP03oiNY0JoiMNBDg.mp4?_nc_cat=105&_nc_sid=b66105&_nc_ht=video-sea5-1.xx.fbcdn.net&_nc_ohc=qTkc7VWatJ0Q7kNvwH9FM-3&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjIwODI1MzM5MTI2MTYwNTYsImFzc2V0X2FnZV9kYXlzIjoxNiwidmlfdXNlY2FzZV9pZCI6MTAxMzksImR1cmF0aW9uX3MiOjE0LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=2bedbf4e2dce8e1b&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC9BNTQ3M0MzODc1NEY2NDg1NjNCNUFEMzcxNjlFM0ZCOV9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50L0YxNDVDM0IyOTdBMEQ2NjExRTg3QzY1N0NCMjREODlDX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbw8cDhtoOzBxUCKAJDMywXQC0Q5WBBiTcYGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZbaeAQA&_nc_gid=n4LWVlXiRFfmVJrFdGQ8Dw&_nc_ss=72289&_nc_zt=28&oh=00_AQDaxjGjntOduAzjIM_uU8vDmCpqQoOs5PsyJliCB42ymw&oe=6A57ECB7,,output/media/1582026298728590/2234560347378305/video_0.mp4,https://www.facebook.com/ads/library/?id=2234560347378305
